ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Column1,quality
1745,8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,0,5
1746,9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,0,5
1747,9.2,0.15,0.68,1.6,0.046,22,130,0.9948,3.02,0.45,10.4,0,6
1748,9.4,0.17,0.55,1.6,0.049,14,94,0.9949,3.02,0.61,10.3,0,6
1749,5.2,0.365,0.08,13.5,0.041,37,142,0.997,3.46,0.39,9.9,0,6
1750,6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,0,6
1751,9.6,0.25,0.54,1.3,0.04,16,160,0.9938,2.94,0.43,10.5,0,5
1752,9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,0,5
1753,6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,0,6
1754,8.1,0.2,0.36,9.7,0.044,63,162,0.997,3.1,0.46,10,0,6
1755,7.9,0.255,0.26,2,0.026,40,190,0.9932,3.04,0.39,11.2,0,6
1756,7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,0,5
1757,6.4,0.15,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3,0,6
1758,6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,0,5
1759,7.6,0.19,0.42,1.5,0.044,6,114,0.9914,3.04,0.74,12.8,0,6
1760,7.3,0.43,0.37,4.6,0.028,17,114,0.991,3.23,0.43,13.2,0,6
1761,5.1,0.31,0.3,0.9,0.037,28,152,0.992,3.54,0.56,10.1,0,6
1762,6.2,0.2,0.26,1.7,0.093,40,161,0.9924,3.44,0.66,11,0,5
1763,6.9,0.16,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,0,6
1764,6.5,0.22,0.72,6.8,0.042,33,168,0.9958,3.12,0.36,9.2,0,6
1765,6.8,0.26,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,0,6
1766,5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,0,6
1767,8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,0,5
1768,8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5,0,5
1769,6.8,0.15,0.32,8.8,0.058,24,110,0.9972,3.4,0.4,8.8,0,6
1770,9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,0,6
1771,5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,0,6
1772,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,0,5
1773,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,0,5
1774,8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,0,6
1775,7.2,0.16,0.32,0.8,0.04,50,121,0.9922,3.27,0.33,10,0,6
1776,7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,0,5
1777,8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,0,6
1778,6.6,0.25,0.31,12.4,0.059,52,181,0.9984,3.51,0.47,9.8,0,6
1779,9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,0,4
1780,5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,0,6
1781,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,0,5
1782,7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,0,5
1783,7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,0,5
1784,7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,0,6
1785,6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,0,6
1786,6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,0,6
1787,6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,0,4
1788,7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,0,5
1789,7,0.14,0.41,0.9,0.037,22,95,0.9914,3.25,0.43,10.9,0,6
1790,7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,0,5
1791,7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,0,6
1792,7.4,0.64,0.47,14.15,0.168,42,185,0.9984,2.9,0.49,9.3,0,5
1793,7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,0,6
1794,10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,0,6
1795,10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,0,6
1796,6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,0,6
1797,6.9,0.28,0.41,1.7,0.05,10,136,0.993,3.16,0.71,11.4,0,6
1798,6.9,0.46,0.2,0.9,0.054,5,126,0.992,3.1,0.42,10.4,0,6
1799,6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1,0,6
1800,7.1,0.36,0.56,1.3,0.046,25,102,0.9923,3.24,0.33,10.5,0,6
1801,6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,0,6
1802,6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,0,5
1803,6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,0,6
1804,8.1,0.19,0.4,0.9,0.037,73,180,0.9926,3.06,0.34,10,0,6
1805,5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,0,6
1806,6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,0,6
1807,6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,0,6
1808,5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,0,6
1809,7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,0,6
1810,6.3,0.67,0.48,12.6,0.052,57,222,0.9979,3.17,0.52,9.3,0,6
1811,9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,0,5
1812,6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,0,4
1813,7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,0,6
1814,7.9,0.2,0.34,1.2,0.04,29,118,0.9932,3.14,0.41,10.6,0,6
1815,7.1,0.26,0.32,5.9,0.037,39,97,0.9934,3.31,0.4,11.6,0,6
1816,7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,0,6
1817,8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,0,6
1818,5.8,0.17,0.3,1.4,0.037,55,130,0.9909,3.29,0.38,11.3,0,6
1819,5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,0,5
1820,6.6,0.23,0.26,1.3,0.045,16,128,0.9934,3.36,0.6,10,0,6
1821,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11,0,3
1822,6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,0,5
1823,9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,0,4
1824,6.2,0.18,0.49,4.5,0.047,17,90,0.9919,3.27,0.37,11.6,0,6
1825,5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,0,5
1826,9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,0,4
1827,8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,0,6
1828,6.8,0.22,0.49,0.9,0.052,26,128,0.991,3.25,0.35,11.4,0,6
1829,7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,0,6
1830,7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,0,5
1831,6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,0,5
1832,7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,0,4
1833,6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,0,5
1834,7.1,0.29,0.49,1.2,0.031,32,99,0.9893,3.07,0.33,12.2,0,6
1835,7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,0,5
1836,6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,0,5
1837,8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,0,5
1838,6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,0,5
1839,6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,0,5
1840,7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,0,5
1841,7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,0,5
1842,8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,0,5
1843,7,0.18,0.49,5.3,0.04,34,125,0.9914,3.24,0.4,12.2,0,6
1844,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,0,6
1845,8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,0,6
1846,6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,0,6
1847,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,0,6
1848,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,0,6
1849,6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,0,6
1850,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,0,6
1851,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,0,5
1852,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,0,6
1853,8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,0,5
1854,6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,0,5
1855,6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,0,6
1856,8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,0,6
1857,7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,0,6
1858,7.9,0.11,0.49,4.5,0.048,27,133,0.9946,3.24,0.42,10.6,0,6
1859,8.5,0.17,0.74,3.6,0.05,29,128,0.9928,3.28,0.4,12.4,0,6
1860,6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,0,6
1861,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,0,6
1862,8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,0,6
1863,7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,0,5
1864,6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,0,6
1865,6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,0,5
1866,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,0,5
1867,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,0,6
1868,7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,0,5
1869,7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,0,6
1870,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,0,4
1871,7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,0,6
1872,7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,0,5
1873,7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,0,6
1874,7.9,0.22,0.24,4.6,0.044,39,159,0.9927,2.99,0.28,11.5,0,6
1875,7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,0,6
1876,7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,0,6
1877,6.6,0.25,0.24,1.7,0.048,26,124,0.9942,3.37,0.6,10.1,0,6
1878,6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,0,6
1879,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,0,4
1880,7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,0,3
1881,7.4,0.28,0.49,1.5,0.034,20,126,0.9918,2.98,0.39,10.6,0,6
1882,6.2,0.15,0.49,0.9,0.033,17,51,0.9932,3.3,0.7,9.4,0,6
1883,6.7,0.25,0.74,19.4,0.054,44,169,1.0004,3.51,0.45,9.8,0,6
1884,6.5,0.26,0.74,13.3,0.044,68,224,0.9972,3.18,0.54,9.5,0,6
1885,7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,0,5
1886,5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,0,6
1887,7.5,0.2,0.49,1.3,0.031,8,97,0.9918,3.06,0.62,11.1,0,5
1888,8,0.3,0.49,9.4,0.046,47,188,0.9964,3.14,0.48,10,0,5
1889,6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4,0,5
1890,7.7,0.27,0.49,1.8,0.041,23,86,0.9914,3.16,0.42,12.5,0,6
1891,6.7,0.51,0.24,2.1,0.043,14,155,0.9904,3.22,0.6,13,0,6
1892,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,0,5
1893,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,0,5
1894,8.1,0.2,0.49,8.1,0.051,51,205,0.9954,3.1,0.52,11,0,6
1895,7.8,0.26,0.74,7.5,0.044,59,160,0.996,3.22,0.64,10,0,6
1896,6.8,0.21,0.49,14.5,0.06,50,170,0.9991,3.55,0.44,9.8,0,6
1897,7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,0,5
1898,8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10,0,5
1899,8.8,0.23,0.74,3.2,0.042,15,126,0.9934,3.02,0.51,11.2,0,6
1900,7.3,0.22,0.49,9.9,0.031,48,161,0.9937,3.01,0.28,11.2,0,6
1901,7.3,0.155,0.49,1.3,0.039,34,136,0.9926,3.14,0.77,10.5,0,6
1902,8.2,0.22,0.49,9.6,0.037,53,154,0.9951,3.02,0.33,10.6,0,6
1903,8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,0,6
1904,8.4,0.23,0.49,7.8,0.035,22,95,0.9935,3.04,0.34,12,0,6
1905,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,0,5
1906,8.3,0.2,0.49,1.7,0.038,38,167,0.9939,3.05,0.37,10.1,0,6
1907,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,0,5
1908,6.9,0.21,0.49,1.4,0.041,15,164,0.9927,3.25,0.63,11,0,5
1909,8,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10,0,6
1910,6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,0,6
1911,7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,0,5
1912,14.2,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,0,6
1913,7.9,0.28,0.49,7.7,0.045,48,195,0.9954,3.04,0.55,11,0,6
1914,7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,0,6
1915,6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,0,6
1916,7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,0,5
1917,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,0,6
1918,7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,0,6
1919,8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,0,6
1920,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,0,5
1921,8.1,0.28,0.49,1,0.04,32,148,0.9936,3.13,0.41,10,0,6
1922,6,0.17,0.49,1,0.034,26,106,0.992,3.21,0.42,9.8,0,6
1923,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,0,6
1924,7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,0,6
1925,7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,0,4
1926,7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,0,6
1927,7.3,0.14,0.49,1.1,0.038,28,99,0.9928,3.2,0.72,10.6,0,6
1928,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,0,5
1929,7.9,0.12,0.49,5.2,0.049,33,152,0.9952,3.18,0.47,10.6,0,6
1930,6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,0,6
1931,6.7,0.3,0.49,4.8,0.034,36,158,0.9945,3.12,0.45,9.9,0,6
1932,7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,0,6
1933,8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,0,6
1934,7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,0,6
1935,6.6,0.19,0.99,1.2,0.122,45,129,0.9936,3.09,0.31,8.7,0,6
1936,7.6,0.23,0.49,10,0.036,45,182,0.9967,3.08,0.58,9.6,0,6
1937,7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,0,6
1938,6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,0,4
1939,8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,0,4
1940,7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,0,6
1941,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,0,5
1942,7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,0,6
1943,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,0,5
1944,8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,0,6
1945,7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,0,5
1946,7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,0,5
1947,7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,0,6
1948,6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,0,5
1949,6.6,0.3,0.74,4.6,0.041,36,159,0.9946,3.21,0.45,9.9,0,5
1950,7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,0,6
1951,6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,0,6
1952,7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,0,5
1953,8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,0,4
1954,6.8,0.17,0.74,2.4,0.053,61,182,0.9953,3.63,0.76,10.5,0,6
1955,6.2,0.27,0.49,1.4,0.05,20,74,0.9931,3.32,0.44,9.8,0,6
1956,7.1,0.64,0.49,1.8,0.05,17,128,0.9946,3.31,0.58,10.6,0,4
1957,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,0,5
1958,7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,0,4
1959,9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,0,5
1960,9,0.3,0.49,7.2,0.039,32,84,0.9938,2.94,0.32,11.5,0,6
1961,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,0,5
1962,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,0,6
1963,7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,0,5
1964,9.3,0.31,0.49,1.3,0.042,34,147,0.9948,3.11,0.46,9.8,0,5
1965,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,0,6
1966,7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,0,5
1967,7,0.27,0.74,1.5,0.036,27,122,0.9926,3.35,0.48,11.2,0,6
1968,7.9,0.14,0.74,1.2,0.028,30,165,0.991,3.08,0.82,12.3,0,6
1969,6.4,0.12,0.49,6.4,0.042,49,161,0.9945,3.34,0.44,10.4,0,6
1970,6.8,0.21,0.74,1.2,0.047,25,111,0.9916,3.13,0.41,10.7,0,6
1971,8.6,0.16,0.49,7.3,0.043,9,63,0.9953,3.13,0.59,10.5,0,6
1972,7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,0,6
1973,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,0,6
1974,6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,0,5
1975,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,0,6
1976,6.3,0.24,0.74,1.4,0.172,24,108,0.9932,3.27,0.39,9.9,0,6
1977,6.7,0.33,0.49,1.6,0.167,20,94,0.9914,3.11,0.5,11.4,0,6
1978,7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,0,6
1979,8.2,0.34,0.49,8,0.046,55,223,0.996,3.08,0.52,10.7,0,6
1980,5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,0,5
1981,6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,0,5
1982,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,0,6
1983,6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6,0,5
1984,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,0,6
1985,8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,0,6
1986,8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,0,5
1987,7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,0,6
1988,6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,0,6
1989,6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,0,6
1990,6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5,0,6
1991,8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,0,5
1992,6.5,0.44,0.49,7.7,0.045,16,169,0.9957,3.11,0.37,8.7,0,6
1993,7,0.14,0.49,5.9,0.053,22,118,0.9954,3.36,0.36,9.4,0,6
1994,6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,0,6
1995,9,0.22,0.49,10.4,0.048,52,195,0.9987,3.31,0.44,10.2,0,6
1996,8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,0,5
1997,8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,0,6
1998,7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,0,6
1999,6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,0,5
2000,8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,0,6
2001,8.3,0.25,0.49,16.8,0.048,50,228,1.0001,3.03,0.52,9.2,0,6
2002,7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2,0,6
2003,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,0,5
2004,8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,0,6
2005,7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,0,5
2006,7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,0,5
2007,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,0,5
2008,6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,0,6
2009,6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,0,6
2010,7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,0,5
2011,6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,0,4
2012,6.4,0.42,0.74,12.8,0.076,48,209,0.9978,3.12,0.58,9,0,6
2013,8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9,0,4
2014,7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,0,6
2015,6.6,0.46,0.49,7.4,0.052,19,184,0.9956,3.11,0.38,9,0,5
2016,7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2,0,5
2017,5.8,0.15,0.49,1.1,0.048,21,98,0.9929,3.19,0.48,9.2,0,5
2018,7.8,0.4,0.49,7.8,0.06,34,162,0.9966,3.26,0.58,11.3,0,6
2019,6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,0,5
2020,6.6,0.325,0.49,7.7,0.049,53,217,0.996,3.16,0.4,9.3,0,5
2021,6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,0,6
2022,6.7,0.26,0.49,8.3,0.047,54,191,0.9954,3.23,0.4,10.3,0,6
2023,7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,0,6
2024,8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,0,4
2025,7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,0,5
2026,8.8,0.39,0.34,5.9,0.055,33,128,0.9927,2.95,0.51,11.8,0,6
2027,7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,0,6
2028,7.8,0.24,0.18,6.7,0.046,33,160,0.9963,3.2,0.56,9.8,0,6
2029,6.6,0.26,0.31,4.8,0.138,41,168,0.9951,3.2,0.38,9.3,0,5
2030,6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,0,5
2031,6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,0,6
2032,6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,0,5
2033,7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1,0,6
2034,6.2,0.3,0.2,6.6,0.045,42,170,0.9944,3.36,0.45,10.4,0,6
2035,6.4,0.35,0.2,5.7,0.034,18,117,0.9944,3.33,0.43,10.1,0,5
2036,7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,0,5
2037,6.3,0.31,0.3,10,0.046,49,212,0.9962,3.74,0.55,11.9,0,6
2038,7.4,0.26,0.37,9.4,0.047,42,147,0.9982,3.46,0.72,10,0,5
